13,53,11,21,31,33,15,25,35,P(W)
-4.5,25.8,-7.3,-13,-8.4,-3.8,-6.3,-9.7,-8.8,124.5
-4.9,25.7,-7.6,-13.2,-8.5,-4,-6.6,-10,-8.9,123.2
-5.3,25.6,-7.9,-13.5,-8.8,-4.3,-6.8,-10.2,-9.3,122.2
-5.6,25.4,-8.1,-13.6,-9.2,-4.6,-7.2,-10.4,-9.5,122.3
-5.9,25.3,-8.3,-13.8,-9.3,-4.9,-7.4,-10.6,-9.7,121.6
-6.3,25.2,-8.5,-14,-9.6,-5.1,-7.6,-10.8,-9.9,120.1
-6.6,25.1,-8.7,-14.2,-9.8,-5.3,-7.9,-11.1,-10.2,120.7
-7,25,-9,-14.4,-10,-5.5,-8,-11.3,-10.3,117.4
-7.3,24.8,-9.2,-14.5,-10.2,-5.7,-8.3,-11.5,-10.4,118
-7.6,24.7,-9.4,-14.7,-10.5,-5.9,-8.5,-11.7,-10.8,117.3
-7.9,24.6,-9.6,-14.8,-10.7,-6.2,-8.7,-11.9,-10.9,116.5
-8.2,24.5,-9.7,-14.9,-10.8,-6.3,-8.8,-12,-11.1,115.4
-8.5,24.3,-9.9,-15.1,-11,-6.5,-9.1,-12.2,-11.2,115.5
-8.8,24.2,-10.1,-15.2,-11.2,-6.8,-9.2,-12.4,-11.5,114.6
-9,24.1,-10.3,-15.4,-11.4,-6.9,-9.5,-12.5,-11.6,115.2
-9.3,24,-10.5,-15.5,-11.7,-7.1,-9.7,-12.7,-11.7,114.2
-9.5,23.8,-10.7,-15.6,-11.7,-7.3,-9.8,-12.8,-12.1,113
-9.8,23.7,-10.8,-15.8,-11.9,-7.5,-9.9,-13,-12.2,114.3
-10,23.6,-11,-15.9,-12.1,-7.7,-10,-13.2,-12.3,113.4
-10.3,23.4,-11.1,-16,-12.3,-7.8,-10.2,-13.4,-12.3,113.4
-10.5,23.3,-11.2,-16.1,-12.4,-8,-10.5,-13.4,-12.6,113.2
-10.8,23.2,-11.4,-16.3,-12.6,-8.2,-10.7,-13.6,-12.8,112.2
-11,23,-11.4,-16.4,-12.8,-8.3,-10.8,-13.8,-12.9,112
-11.2,22.9,-11.6,-16.5,-12.9,-8.5,-10.9,-13.9,-13,111.5
-11.4,22.8,-11.8,-16.6,-13,-8.6,-11.1,-14,-13.1,111.3
-11.6,22.6,-11.9,-16.7,-13.2,-8.7,-11.2,-14.2,-13.3,112.4
-11.8,22.5,-12.1,-16.8,-13.4,-8.9,-11.3,-14.3,-13.4,112.3
-12,22.3,-12.2,-17,-13.5,-9,-11.4,-14.4,-13.7,110.6
-12.2,22.2,-12.3,-17,-13.6,-9.1,-11.5,-14.5,-13.7,110.2
-12.4,22.1,-12.5,-17.2,-13.7,-9.3,-11.7,-14.7,-13.8,109.7
-12.6,22,-12.6,-17.2,-13.8,-9.4,-11.8,-14.8,-13.9,109.7
-12.8,21.8,-12.6,-17.3,-14,-9.5,-11.9,-14.9,-14,109.5
-13,21.7,-12.8,-17.5,-14.1,-9.6,-12.1,-15,-14.1,109
-13.1,21.5,-12.9,-17.6,-14.2,-9.8,-12.3,-15.2,-14.2,108.8
-13.3,21.4,-13,-17.6,-14.4,-9.9,-12.3,-15.2,-14.3,66.3
-13.4,21.3,-13,-17.4,-14.4,-10,-12.4,-15.1,-14.1,67.9
-13.5,21.1,-13,-17.1,-14.4,-10.1,-12.3,-15,-14.1,67.9
-13.6,21,-13,-16.8,-14.4,-10.1,-12.2,-14.9,-13.9,68.5
-13.7,20.9,-12.9,-16.6,-14.4,-10.1,-12.2,-14.8,-13.9,68
-13.8,20.7,-12.9,-16.4,-14.3,-10.1,-12.2,-14.7,-13.8,68
-13.9,20.6,-12.9,-16.3,-14.2,-10,-12.1,-14.7,-13.7,68.7
-13.9,20.4,-12.8,-16.2,-14.2,-10,-12.1,-14.6,-13.7,68.1
-14,20.3,-12.8,-16.1,-14.1,-10,-12.1,-14.5,-13.6,67.9
